PartitionKey,RowKey,OrderNumber,OrderNumber@type,Code,Code@type,ValidityFlag,ValidityFlag@type,ShortDescription,ShortDescription@type,LongDescription,LongDescription@type
ICD10,00036733-cd5b-41ed-ad85-87d80a4ea2b2,55349,String,S65599,String,false,Boolean,Other specified injury of blood vessel of unspecified finger,String,Other specified injury of blood vessel of unspecified finger,String
ICD10,000537c5-47dd-4136-a08c-8ccf3cc868ca,54148,,S63253S,,true,,"Unspecified dislocation of left middle finger, sequela",,"Unspecified dislocation of left middle finger, sequela",
ICD10,00065ee2-a8f4-4af3-b3d9-32a1d93077dc,50790,,S61211D,,true,,"Laceration w/o fb of l idx fngr w/o damage to nail, subs",,"Laceration without foreign body of left index finger without damage to nail, subsequent encounter",
ICD10,0006ab45-c3b6-4e28-8050-3887f3660565,74454,,T25721S,,true,,"Corrosion of third degree of right foot, sequela",,"Corrosion of third degree of right foot, sequela",
ICD10,0007abd8-84db-4518-aa58-a519d2f56362,55321,,S65592,,false,,Oth injury of blood vessel of right middle finger,,Other specified injury of blood vessel of right middle finger,
ICD10,000843c2-b33d-4a4c-8eca-da9abfe1b072,54277,,S63285A,,true,,"Dislocation of proximal interphaln joint of l rng fngr, init",,"Dislocation of proximal interphalangeal joint of left ring finger, initial encounter",
ICD10,0008cbe6-3fe5-42ff-b4f0-346eb61ddd53,05451,,F13188,,true,,"Sedative, hypnotic or anxiolytic abuse w oth disorder",,"Sedative, hypnotic or anxiolytic abuse with other sedative, hypnotic or anxiolytic-induced disorder",
ICD10,000b875b-a907-4efa-8234-d93331a2ff35,55310,,S65519D,,true,,"Laceration of blood vessel of unsp finger, subs encntr",,"Laceration of blood vessel of unspecified finger, subsequent encounter",
ICD10,000b98db-b7d8-4b4e-a26d-0a4bc4a801be,15701,,L9712,,false,,Non-pressure chronic ulcer of left thigh,,Non-pressure chronic ulcer of left thigh,
ICD10,000be4e3-b563-4cfc-ba10-d64342f9ba14,41124,,S40251D,,true,,"Superficial foreign body of right shoulder, subs encntr",,"Superficial foreign body of right shoulder, subsequent encounter",
ICD10,000d1b16-76b4-4988-ad9d-c3879b425590,61847,,S82116A,,true,,"Nondisp fx of unsp tibial spine, init for clos fx",,"Nondisplaced fracture of unspecified tibial spine, initial encounter for closed fracture",
ICD10,000ed128-143a-4468-b648-4a40c2f11472,86215,,V1900,,false,,Pedal cycle driver injured in collision w unsp mv nontraf,,Pedal cycle driver injured in collision with unspecified motor vehicles in nontraffic accident,
ICD10,000ee9cf-31d2-4f55-b5b3-ae216d479412,31777,,S01319,,false,,Laceration without foreign body of unspecified ear,,Laceration without foreign body of unspecified ear,
ICD10,000f525c-31d6-4592-b3a0-f8bf82456dc0,27752,,O429,,false,,"Premature ROM, unsp time betw rupture and onset of labor",,"Premature rupture of membranes, unspecified as to length of time between rupture and onset of labor",
ICD10,0010c312-6c37-4372-adf1-a85d72a5fb55,81232,,T63022S,,true,,"Toxic effect of coral snake venom, self-harm, sequela",,"Toxic effect of coral snake venom, intentional self-harm, sequela",
